seed,step
2784,11
2785,25
2786,11
2787,24
2788,16
2789,17
2790,17
2791,1
2792,1
2793,4
2794,2
2795,6
2796,19
2797,3
2798,4
2799,4
2800,6
2801,1
2802,3
2803,5
2804,9
2805,7
2806,4
2807,1
2808,2
2809,4
2810,6
2811,4
2812,1
2813,16
2814,1
2815,2
2816,17
2817,7
2818,38
2819,9
2820,9
2821,4
2822,4
2823,1
2824,21
2825,8
2826,1
2827,11
2828,2
2829,5
2830,4
2831,3
2832,1
2833,10
2834,3
2835,5
2836,4
2837,4
2838,2
2839,7
2840,1
2841,1
2842,1
2843,6
2844,14
2845,12
2846,6
2847,6
2848,5
2849,13
2850,9
2851,1
2852,22
2853,5
2854,6
2855,5
2856,11
2857,11
2858,3
2859,4
2860,1
2861,5
2862,4
2863,1
2864,3
2865,2
2866,4
2867,4
2868,10
2869,5
2870,14
2871,11
2872,3
2873,1
2874,16
2875,6
2876,17
2877,4
2878,1
2879,17
2880,13
2881,2
2882,7
2883,4
2884,1
2885,15
2886,9
2887,25
2888,2
2889,2
2890,14
2891,16
2892,5
2893,12
2894,10
2895,1
2896,9
2897,22
2898,8
2899,8
2900,1
2901,21
2902,8
2903,10
2904,4
2905,2
2906,3
2907,2
2908,7
2909,1
2910,11
2911,1
2912,3
2913,24
2914,4
2915,6
2916,2
2917,6
2918,6
2919,11
2920,4
2921,3
2922,2
2923,8
2924,1
2925,9
2926,3
2927,11
2928,2
2929,3
2930,7
2931,3
2932,14
2933,1
2934,1
2935,5
2936,3
2937,9
2938,16
2939,15
2940,3
2941,3
2942,9
2943,19
2944,4
2945,15
2946,2
2947,2
2948,5
2949,5
2950,4
2951,3
2952,7
2953,10
2954,9
2955,12
2956,7
2957,4
2958,5
2959,2
2960,7
2961,1
2962,3
2963,15
2964,5
2965,1
2966,5
2967,2
2968,3
2969,8
2970,10
2971,13
2972,6
2973,11
2974,2
2975,6
2976,2
2977,6
2978,4
2979,10
2980,1
2981,5
2982,12
2983,5
2984,18
2985,9
2986,2
2987,5
2988,3
2989,5
2990,7
2991,26
2992,3
2993,4
