sample,two_theta,intensity
InMnPdOx_pre,20.25,5.167
InMnPdOx_pre,20.26,5.256
InMnPdOx_pre,20.27,5.282
InMnPdOx_pre,20.28,5.224
InMnPdOx_pre,20.29,5.136
InMnPdOx_pre,20.3,5.181
InMnPdOx_pre,20.31,5.152
InMnPdOx_pre,20.32,5.165
InMnPdOx_pre,20.33,5.108
InMnPdOx_pre,20.34,5.104
InMnPdOx_pre,20.35,5.151
InMnPdOx_pre,20.36,5.257
InMnPdOx_pre,20.37,5.279
InMnPdOx_pre,20.38,5.255
InMnPdOx_pre,20.39,5.268
InMnPdOx_pre,20.4,5.349
InMnPdOx_pre,20.41,5.38
InMnPdOx_pre,20.42,5.408
InMnPdOx_pre,20.43,5.249
InMnPdOx_pre,20.44,5.169
InMnPdOx_pre,20.45,5.198
InMnPdOx_pre,20.46,5.383
InMnPdOx_pre,20.47,5.343
InMnPdOx_pre,20.48,5.331
InMnPdOx_pre,20.49,5.276
InMnPdOx_pre,20.5,5.346
InMnPdOx_pre,20.51,5.392
InMnPdOx_pre,20.52,5.415
InMnPdOx_pre,20.53,5.219
InMnPdOx_pre,20.54,5.121
InMnPdOx_pre,20.55,5.292
InMnPdOx_pre,20.56,5.282
InMnPdOx_pre,20.57,5.14
InMnPdOx_pre,20.58,5.0
InMnPdOx_pre,20.59,5.088
InMnPdOx_pre,20.6,5.127
InMnPdOx_pre,20.61,5.172
InMnPdOx_pre,20.62,5.271
InMnPdOx_pre,20.63,5.238
InMnPdOx_pre,20.64,5.071
InMnPdOx_pre,20.65,4.915
InMnPdOx_pre,20.66,4.896
InMnPdOx_pre,20.67,4.904
InMnPdOx_pre,20.68,4.938
InMnPdOx_pre,20.69,5.012
InMnPdOx_pre,20.7,5.072
InMnPdOx_pre,20.71,5.023
InMnPdOx_pre,20.72,4.975
InMnPdOx_pre,20.73,5.065
InMnPdOx_pre,20.74,5.147
InMnPdOx_pre,20.75,5.139
InMnPdOx_pre,20.76,5.026
InMnPdOx_pre,20.77,4.865
InMnPdOx_pre,20.78,4.847
InMnPdOx_pre,20.79,4.965
InMnPdOx_pre,20.8,5.037
InMnPdOx_pre,20.81,4.96
InMnPdOx_pre,20.82,4.995
InMnPdOx_pre,20.83,5.087
InMnPdOx_pre,20.84,5.147
InMnPdOx_pre,20.85,5.115
InMnPdOx_pre,20.86,5.106
InMnPdOx_pre,20.87,5.084
InMnPdOx_pre,20.88,5.124
InMnPdOx_pre,20.89,5.118
InMnPdOx_pre,20.9,5.111
InMnPdOx_pre,20.91,5.205
InMnPdOx_pre,20.92,5.23
InMnPdOx_pre,20.93,5.195
InMnPdOx_pre,20.94,5.076
InMnPdOx_pre,20.95,5.222
InMnPdOx_pre,20.96,5.304
InMnPdOx_pre,20.97,5.334
InMnPdOx_pre,20.98,5.159
InMnPdOx_pre,20.99,5.044
InMnPdOx_pre,21.0,5.083
InMnPdOx_pre,21.01,5.242
InMnPdOx_pre,21.02,5.308
InMnPdOx_pre,21.03,5.143
InMnPdOx_pre,21.04,5.022
InMnPdOx_pre,21.05,5.067
InMnPdOx_pre,21.06,5.234
InMnPdOx_pre,21.07,5.329
InMnPdOx_pre,21.08,5.197
InMnPdOx_pre,21.09,5.214
InMnPdOx_pre,21.1,5.096
InMnPdOx_pre,21.11,5.139
InMnPdOx_pre,21.12,5.055
InMnPdOx_pre,21.13,5.137
InMnPdOx_pre,21.14,5.247
InMnPdOx_pre,21.15,5.273
InMnPdOx_pre,21.16,5.175
InMnPdOx_pre,21.17,5.152
InMnPdOx_pre,21.18,5.141
InMnPdOx_pre,21.19,5.071
InMnPdOx_pre,21.2,4.92
InMnPdOx_pre,21.21,5.033
InMnPdOx_pre,21.22,5.103
InMnPdOx_pre,21.23,5.144
InMnPdOx_pre,21.24,5.085
InMnPdOx_pre,21.25,5.134
InMnPdOx_pre,21.26,5.058
InMnPdOx_pre,21.27,4.976
InMnPdOx_pre,21.28,5.056
InMnPdOx_pre,21.29,5.09
InMnPdOx_pre,21.3,5.149
InMnPdOx_pre,21.31,5.094
InMnPdOx_pre,21.32,5.144
InMnPdOx_pre,21.33,5.102
InMnPdOx_pre,21.34,5.011
InMnPdOx_pre,21.35,4.984
InMnPdOx_pre,21.36,4.933
InMnPdOx_pre,21.37,4.922
InMnPdOx_pre,21.38,5.073
InMnPdOx_pre,21.39,5.175
InMnPdOx_pre,21.4,5.258
InMnPdOx_pre,21.41,5.245
InMnPdOx_pre,21.42,5.241
InMnPdOx_pre,21.43,5.165
InMnPdOx_pre,21.44,5.184
InMnPdOx_pre,21.45,5.327
InMnPdOx_pre,21.46,5.193
InMnPdOx_pre,21.47,5.033
InMnPdOx_pre,21.48,4.966
InMnPdOx_pre,21.49,5.01
InMnPdOx_pre,21.5,5.066
InMnPdOx_pre,21.51,5.099
InMnPdOx_pre,21.52,5.131
InMnPdOx_pre,21.53,5.133
InMnPdOx_pre,21.54,5.102
InMnPdOx_pre,21.55,5.149
InMnPdOx_pre,21.56,5.103
InMnPdOx_pre,21.57,5.027
InMnPdOx_pre,21.58,4.899
InMnPdOx_pre,21.59,4.911
InMnPdOx_pre,21.6,4.993
InMnPdOx_pre,21.61,5.106
InMnPdOx_pre,21.62,5.064
InMnPdOx_pre,21.63,5.041
InMnPdOx_pre,21.64,5.043
InMnPdOx_pre,21.65,5.021
InMnPdOx_pre,21.66,5.142
InMnPdOx_pre,21.67,5.209
InMnPdOx_pre,21.68,5.139
InMnPdOx_pre,21.69,4.933
InMnPdOx_pre,21.7,4.952
InMnPdOx_pre,21.71,4.832
InMnPdOx_pre,21.72,4.841
InMnPdOx_pre,21.73,4.751
InMnPdOx_pre,21.74,4.81
InMnPdOx_pre,21.75,4.775
InMnPdOx_pre,21.76,4.849
InMnPdOx_pre,21.77,4.978
InMnPdOx_pre,21.78,5.097
InMnPdOx_pre,21.79,5.108
InMnPdOx_pre,21.8,5.005
InMnPdOx_pre,21.81,4.948
InMnPdOx_pre,21.82,4.945
InMnPdOx_pre,21.83,4.986
InMnPdOx_pre,21.84,4.875
InMnPdOx_pre,21.85,4.816
InMnPdOx_pre,21.86,4.782
InMnPdOx_pre,21.87,4.907
InMnPdOx_pre,21.88,5.008
InMnPdOx_pre,21.89,4.926
InMnPdOx_pre,21.9,4.9
InMnPdOx_pre,21.91,4.797
InMnPdOx_pre,21.92,4.926
InMnPdOx_pre,21.93,4.96
InMnPdOx_pre,21.94,5.144
InMnPdOx_pre,21.95,5.057
InMnPdOx_pre,21.96,5.054
InMnPdOx_pre,21.97,5.02
InMnPdOx_pre,21.98,5.156
InMnPdOx_pre,21.99,5.046
InMnPdOx_pre,22.0,4.866
InMnPdOx_pre,22.01,4.776
InMnPdOx_pre,22.02,4.909
InMnPdOx_pre,22.03,4.971
InMnPdOx_pre,22.04,4.906
InMnPdOx_pre,22.05,4.837
InMnPdOx_pre,22.06,4.71
InMnPdOx_pre,22.07,4.69
InMnPdOx_pre,22.08,4.763
InMnPdOx_pre,22.09,4.886
